id,x,y,z
0,1,1,1
1,2,2,2
2,3,3,3
3,4,4,4
4,5,5,5
5,-0.033410,-0.70880,-0.081.9,2.5
19,-33638,-70363,102.2,2.8
20,-34616,-71139,66.5,2.9
21,-32570,-71226,47.7,3.4
22,-34643,-70740,102.1,3.5
23,-33033,-70403,101.3,2.9
24,-33177,-70285,8.0,3.2
25,-33677,-70838,72.0,2.9
26,-28309,-68806,280.8,4.5
27,-34220,-71539,45.5,3.4
28,-34863,-71068,102.1,2.6
29,-31820,-70089,144.1,3.3
30,-31438,-69847,120.8,3.6
31,-32474,-71369,36.7,3.7
32,-32238,-71631,9.6,3.7
33,-33252,-68870,13.3,3.4
