id,x,y,z,r
0,-0.016316097,-0.33476576,-0.055768896
1,-0.033410,-0.70880,-0.081.9,2.5
2,-33787,-71339,45.8,3.7
3,-31535,-71318,35.7,3.8
4,-32446,-70923,95.2,2.7
5,-32986,-71348,41.8,3.6
6,-32617,-71645,33.0,3.3
7,-32747,-71685,15.2,3.5
8,-32749,-71711,22.5,3.8
9,-32765,-71688,11.2,3.8
10,-34944,-71492,52.8,3.6
11,-33265,-68660,7.8,4.3
12,-32899,-70274,99.7,3.3
13,-32266,-71698,11.8,3.5
14,-32476,-70330,123.8,2.9
15,-33337,-70478,87.0,2.8
16,-34442,-72122,28.7,3.4
17,-32050,-71644,27.5,3.7
18,-32167,-69873,147.3,3.7
19,-33638,-70363,102.2,2.8
20,-34616,-71139,66.5,2.9
21,-32570,-71226,47.7,3.4
22,-34643,-70740,102.1,3.5
23,-33033,-70403,101.3,2.9
24,-33177,-70285,8.0,3.2
25,-33677,-70838,72.0,2.9
26,-28309,-68806,280.8,4.5
27,-34220,-71539,45.5,3.4
28,-34863,-71068,102.1,2.6
29,-31820,-70089,144.1,3.3
30,-31438,-69847,120.8,3.6
31,-32474,-71369,36.7,3.7
32,-32238,-71631,9.6,3.7
33,-33252,-68870,13.3,3.4
34,-31922,-70677,99.2,3.0
35,-31969,-71342,72.7,4.5
36,-32709,-71744,31.8,3.2
37,-32279,-71713,38.2,3.2
38,-32757,-71715,14.3,3.3
39,-33549,-70288,100.5,2.9
40,-32719,-71796,12.6,3.2
41,-32713,-71680,13.9,3.5
42,-33197,-70167,109.1,3.8
43,-36737,-72596,16.8,4.0
44,-34608,-71773,33.0,4.2
45,-33156,-70303,5.1,3.2
46,-33001,-70259,106.4,2.6
47,-31151,-69196,200.2,3.3
48,-34578,-72521,4.7,3.6
49,-30882,-71866,9.7,4.7
50,-34083,-70093,8.9,3.5
51,-32802,-71459,33.1,3.8
52,-33036,-70562,82.6,2.6
53,-32293,-70757,90.2,3.0
54,-33151,-72215,34.6,3.5
55,-33088,-72119,8.5,3.5
56,-31387,-69633,141.0,3.2
57,-33074,-70305,12.3,3.3
58,-33342,-71777,32.9,3.1
59,-33204,-70235,110.5,4.0
60,-33173,-70775,76.7,2.5
61,-32290,-71782,13.3,3.5
62,-35450,-71217,139.8,3.1
63,-30783,-70929,10.3,3.8
64,-33055,-70229,109.9,3.4
